,cited_assignee,cited_publication_number,citing_publication_number,citing_assignee,cited_cpc_code,citing_cpc_code,filing_year
2634,MOONRAFT INNOVATION LABS PVT LTD,US-2017018021-A1,US-10282402-B2,KHOO JUSTIN,G06Q30/06,G06F40/19,2016
2635,MERIT DATA CO LTD,CN-107194754-A,TW-I658420-B,PING AN TECHNOLOGY SHENZHEN CO LTD,G06Q30/06,G06Q30/02,2017
2636,SOCKETFLIP INC,US-2016335698-A1,US-10578658-B2,MRI INC,G06Q30/06,H04L67/16,2016
2637,GUANGZHOU CHANGTU AUTO TECH DEVELOPMENT CO LTD,CN-107274262-A,CN-108961102-A,SHENZHEN HIVE BOX TECH CO LTD,G06Q30/06,G06Q50/12,2017
2638,PAYPAL INC,US-2018174222-A1,US-2018285859-A1,SZETO MARGARET,G06Q30/06,G06Q30/02,2016
2639,MAGIC LEAP INC,US-2017039613-A1,US-2018182025-A1,CAPITAL ONE SERVICES LLC,G06Q30/06,G06Q30/06,2016
2640,LIM HOON-KYU,US-2017331898-A1,US-2017346836-A1,AFERO INC,G06Q30/06,H04L63/14,2016
2641,HANLON SARAH LAUREL,US-2017076349-A1,US-2018329722-A1,ACCENTURE GLOBAL SOLUTIONS LTD,G06Q30/06,G06F9/444,2016
2642,EXPOSE RETAIL STRATEGIES INC,US-2017200218-A1,US-2017296874-A1,LEE CHIA-HSUN JACKIE,G06Q30/06,A63B24/00,2016
2643,MCKAY REGAN JARROD,US-2018025403-A1,US-10484460-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,H04L67/10,2016
2644,BANK OF AMERICA,US-2018150899-A1,US-2017249766-A1,FANUC CORP,G06Q30/06,G06T7/000,2016
2645,TRUECAR INC,US-2017109769-A1,US-10009432-B1,PYRALEADS LLC,G06Q30/06,H04L67/22,2016
2646,SEN SAMUDRA,US-2016210680-A1,US-2018047043-A1,IBM,G06Q30/06,G06Q30/02,2016
2647,WUHAN QIMI NETWORK TECH CO LTD,CN-106910108-A,CN-107369075-A,WANBANG CHARGE FACILITY CO LTD,G06Q30/06,G06Q30/06,2017
2648,NEXTEV USA INC,US-2018012197-A1,US-10073463-B2,NIO USA INC,G06Q30/06,G05D1/029,2016
2649,BODEGA AI INC,US-2018165728-A1,US-10133933-B1,STANDARD COGNITION,G06Q30/06,G06K9/007,2017
2650,ZENG LINGXIA,CN-106355464-A,CN-107025552-A,LUO XINGXING,G06Q30/06,G06Q20/32,2016
2651,AVENNOMS CO LTD,KR-20170116289-A,WO-2019147095-A1,NARAMULSAN CO LTD,G06Q30/06,G06Q30/04,2016
2652,BEIJING XIAOMI MOBILE SOFTWARE CO LTD,CN-106846032-A,CN-107491989-A,BEIJING SAIYU NETWORK TECH CO LTD,G06Q30/06,G06Q30/02,2016
2653,AUTOHOWMUCH,KR-20180017959-A,KR-102008339-B1,PARK JI HOON,G06Q30/06,G06Q50/30,2016
2654,CHOW EDMOND K,US-2016225059-A1,US-10542069-B2,BEIN ANDREW,G06Q30/06,H04L67/02,2016
2655,STAGING DESIGN INC,US-2016253745-A1,US-2017323481-A1,TRAN BAO,G06Q30/06,G06T19/00,2016
2656,UNIV SUNGKYUNKWAN RES & BUS,KR-20170101453-A,KR-101961144-B1,DIGITALZONE CO LTD,G06Q30/06,G06Q10/10,2016
2657,PROCTER & GAMBLE,US-2017270593-A1,US-10361004-B2,CAL COMP ELECTRONICS & COMMUNICATIONS COMPANY LTD,G06Q30/06,G06K9/002,2017
2658,JONES MARTIN KELLY,US-2016174044-A1,US-10262324-B2,BIOCATCH LTD,G06Q30/06,G06Q20/40,2016
2659,BEIJING DIDI INFINITY TECH AND DEV CO LTD,WO-2017166877-A1,EP-3459026-A4,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,G06Q30/06,G06Q10/02,2016
2660,3D ABOUT ME B V,WO-2018007384-A1,RU-2684436-C1,OBSHCHESTVO S OGRANICHENNOJ OTVETSTVENNOSTYU FITTIN,G06Q30/06,A43D1/025,2017
2661,SHENNIB ADNAN,US-2016350821-A1,US-10045128-B2,IHEAR MEDICAL INC,G06Q30/06,H04R25/30,2016
2662,ADIDAS AG,US-2016364790-A1,US-9971983-B2,THEATRO LABS INC,G06Q30/06,G06Q10/06,2016
2663,UNIV HANGZHOU DIANZI,CN-106296350-A,CN-107481508-A,GUANGZHOU ZHONGRONG IOT INFORMATION TECH CO LTD,G06Q30/06,G08G1/205,2016
2664,OCT8NE INC,US-2017323361-A1,US-2017208069-A1,REGWEZ INC,G06Q30/06,G06F16/58,2016
2665,NIO USA INC,US-10388081-B2,US-10569740-B2,HYUNDAI MOTOR CO LTD,G06Q30/06,B60R25/24,2016
2666,GREAT-CIRCLE TECH INC,US-2017300839-A1,US-10552779-B2,IBM,G06Q30/06,G06Q10/06,2017
2667,PAYPAL INC,US-2017249689-A1,US-2018032975-A1,SQUARE INC,G06Q30/06,G06Q20/08,2017
2668,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-106846122-A,CN-107463946-A,UNIV ZHEJIANG,G06Q30/06,G06K9/621,2017
2669,MACINTOSH BRIAN T,US-2017221121-A1,US-10313315-B2,BANK OF AMERICA,G06Q30/06,H04L63/04,2017
2670,XEROX CORP,US-2017227367-A1,US-2018061125-A1,FUTUREWEI TECHNOLOGIES INC,G06Q30/06,G06T19/00,2016
2671,TOSHIBA TEC KK,US-2016203680-A1,US-10552821-B2,PAYPAL INC,G06Q30/06,G06Q20/32,2016
2672,ALIBABA GROUP HOLDING LTD,CN-108228579-A,WO-2020024717-A1,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/02,2016
2673,UNIV WUHAN TECH,CN-106971330-A,CN-108053582-A,TERMINUS TECH CO LTD,G06Q30/06,G07G1/008,2017
2674,PING AN TECH SHENZHEN CO LTD,CN-107679931-A,WO-2019227607-A1,PING AN TECH SHENZHEN CO LTD,G06Q30/06,G06Q30/06,2017
2675,ADOBE SYSTEMS INC,US-2018276725-A1,US-2019236121-A1,SALESFORCE COM INC,G06Q30/06,G06F40/13,2017
2676,PROCTER & GAMBLE,US-2017270593-A1,US-2017345144-A1,CAL-COMP ELECTRONICS & COMMUNICATIONS COMPANY LTD,G06Q30/06,G16H50/70,2017
2677,MAZED MOHAMMAD A,US-2017221032-A1,US-10446692-B2,MICRON TECHNOLOGY INC,G06Q30/06,H01L21/82,2017
2678,BOE TECHNOLOGY GROUP CO LTD,US-2018082479-A1,US-10509962-B2,EBAY INC,G06Q30/06,G06K9/006,2017
2679,WAL-MART STORES INC,US-2017186072-A1,US-10073996-B2,PORTICHUELO FOTOVOLTAICA S L,G06Q30/06,G06K7/103,2016
2680,SQUARE INC,WO-2018063474-A1,EP-3579164-A1,CAPITAL ONE SERVICES LLC,G06Q30/06,G06Q20/20,2017
2681,BOE TECHNOLOGY GROUP CO LTD,CN-108022121-A,CN-109043861-A,HUNAN INST ENGINEERING,G06Q30/06,A47B61/00,2016
2682,SHANGHAI TONCOM MUNICIPAL FACILITY TECH CO LTD,CN-105809520-A,CN-107103373-A,CHENGDU WENGWENG TECH CO LTD,G06Q30/06,G06Q10/02,2016
2683,AMIN HANNAH ELIZABETH,US-2017069010-A1,WO-2019147537-A1,WALMART APOLLO LLC,G06Q30/06,G06Q30/06,2016
2684,SHENZHEN LOUTONGBAO IND CO LTD,CN-106920152-A,CN-108492157-A,SHANGHAI YUNNA INTELLIGENT TECH CO LTD,G06Q30/06,H04W4/33,2017
2685,LOOP COMMERCE INC,US-10275822-B2,US-10540630-B2,LOOP COMMERCE INC,G06Q30/06,G06Q10/08,2018
2686,WAL MART STORES INC,US-2018068357-A1,US-10239739-B2,WALMART APOLLO LLC,G06Q30/06,B66F9/063,2017
2687,BEIJING HUITONG JINCAI INFORMATION TECH CO LTD,CN-107240001-A,CN-108023729-A,CHINA UNIONPAY CO LTD,G06Q30/06,H04L63/08,2017
2688,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-109034973-A,WO-2020020137-A1,BEIJING JINGDONG CENTURY TRADING CO LTD,G06Q30/06,G06Q30/06,2018
2689,TRUECAR INC,US-2017109769-A1,US-2019068713-A1,MALETYCH KURT,G06Q30/06,H04L67/12,2016
2690,WAL-MART STORES INC,US-2017024798-A1,US-2018262582-A1,Sony Interactive Entertainment LLC,G06Q30/06,H04L67/22,2016
2691,ADIDAS AG,US-2016364790-A1,US-10257085-B2,THEATRO LABS INC,G06Q30/06,H04L45/44,2016
2692,GOLDUBER GARY,WO-2016201355-A1,FR-3074463-A1,VALEO COMFORT & DRIVING ASSISTANCE,G06Q30/06,B60R25/24,2016
2693,PULLIAM JENNIFER MARIE,US-2016210680-A1,US-10546313-B2,IBM,G06Q30/06,G06Q30/02,2016
2694,3D PRODUCT IMAGING INC,US-2016253746-A1,WO-2018182947-A1,PLETHRON INC,G06Q30/06,G06F16/16,2016
2695,MATCHCO,US-2018189853-A1,WO-2020028099-A1,PEYRET HARUNA,G06Q30/06,B01F13/10,2017
2696,WAL-MART STORES INC,US-2017178222-A1,US-10467685-B1,BOISVERT MICHELLE,G06Q30/06,G06Q10/08,2016
2697,STATE GRID CORP CHINA,CN-107240001-A,WO-2019148783-A1,ONE CONNECT SMART TECH CO LTD SHENZHEN,G06Q30/06,G06Q20/38,2017
2698,METAIL LTD,US-2016180419-A1,WO-2017004392-A1,DIMENSIONALMECHANICS INC,G06Q30/06,G06Q30/06,2016
2699,BEIJING SCIENCE & TECH CO THREE FAST ONLINE,CN-108628943-A,WO-2019184463-A1,BEIJING SANKUAI ONLINE TECH CO LTD,G06Q30/06,G06Q30/06,2018
2700,INTELLIRESPONSE SYSTEMS INC,US-2016358240-A1,US-2017357635-A1,ROVI GUIDES INC,G06Q30/06,G06F17/27,2016
2701,84 51 LLC,US-10387933-B2,US-10572552-B2,CISION US INC,G06Q30/06,G06F16/95,2016
2702,ACCENTURE GLOBAL SOLUTIONS LTD,US-2017068909-A1,US-10115016-B2,GEN MOTORS LLC,G06Q30/06,G06K9/006,2016
2703,HWANG YU BIN,KR-101728419-B1,KR-101958773-B1,SAVEPLUS,G06Q30/06,G06Q30/06,2016
2704,RAISE MARKETPLACE INC,US-2017186057-A1,US-2017278108-A1,AMADEUS SAS,G06Q30/06,G06Q20/40,2016
2705,ALIBABA GROUP HOLDING LTD,CN-107133835-A,CN-108416375-A,China Unicom,G06Q30/06,G06K9/627,2016
2706,INTELLIRESPONSE SYSTEMS INC,US-2016358240-A1,US-9858265-B1,ROVI GUIDES INC,G06Q30/06,G06F40/35,2016
2707,UNIV BINZHOU,CN-106327299-A,CN-106845008-A,GREE ELECTRIC APPLIANCES INC ZHUHAI,G06Q30/06,G06F30/36,2016
2708,BEIJING JD FINANCE TECH HOLDING CO LTD,CN-108364209-A,CN-109242601-A,ALIBABA GROUP HOLDING LTD,G06Q30/06,G06Q30/06,2018
2709,XEROX CORP,US-2017270349-A1,WO-2020041030-A1,PROCTER & GAMBLE,G06Q30/06,A61B5/103,2017
2710,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,CN-108198052-A,WO-2019165891-A1,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO LTD,G06Q30/06,G06Q30/06,2018
2711,DAMY JULIAN,US-2017132694-A1,US-10579206-B2,SAMSUNG ELECTRONICS CO LTD,G06Q30/06,G06F3/048,2016
2712,MEGVII TECH LTD,CN-107862360-A,EP-3598173-A1,BEIJING KUANGSHI TECH CO LTD,G06Q30/06,G01S17/06,2017
2713,PAYPAL INC,US-2018174222-A1,US-2018227251-A1,TAKISHIMA NAOKI,G06Q30/06,H04L51/04,2016
2714,INTEL CORP,US-2017277365-A1,US-2018218433-A1,Vaccaro James Matthew,G06Q30/06,G06Q30/06,2016
2715,MICROSOFT TECHNOLOGY LICENSING LLC,US-2017352082-A1,US-10369974-B2,NIO USA INC,G06Q30/06,B60S5/02,2016
2716,TRUECAR INC,US-2016364783-A1,US-10580081-B2,CLUTCH TECH LLC,G06Q30/06,G06Q40/08,2016
2717,RUBICON GLOBAL HOLDINGS INC,US-2017243269-A1,US-10223667-B2,REPENSEK JOSHUA,G06Q30/06,G06Q10/08,2017
2718,EBAY INC,US-9552606-B2,US-10102293-B2,EBAY INC,G06Q30/06,G06F16/95,2016
2719,24/7 CUSTOMER INC,US-2016275582-A1,WO-2019164911-A1,[24]7 AI INC,G06Q30/06,G06Q30/01,2016
2720,PPG IND OHIO INC,WO-2016191209-A1,WO-2018126057-A1,AXALTA COATING SYSTEMS IP CO,G06Q30/06,C09D7/80,2016
2721,SUNRISE R&D HOLDINGS LLC,US-2016328767-A1,US-2018075405-A1,WAL MART STORES INC,G06Q30/06,G06Q10/08,2016
2722,SONY CORP,US-2019050936-A1,US-10546492-B2,BOSCH GMBH ROBERT,G06Q30/06,G08G1/04,2017
2723,DMALL LIFE CHINA NETWORK TECH CO LTD,CN-107239986-A,CN-107886414-A,VV CHE TECH DEVELOPMENT SHENZHEN CO LTD,G06Q30/06,G06Q30/06,2017
2724,OMRON TATEISI ELECTRONICS CO,EP-3379467-A1,EP-3506456-A1,GOGORO INC,G06Q30/06,B60L53/80,2016
2725,MONSCIERGE INC,US-2017091845-A1,US-10162812-B2,BANK OF AMERICA,G06Q30/06,G06F40/28,2016
2726,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,US-2018330428-A1,CN-107169603-A,NANJING BAISHI TONGHUI INTELLIGENT TECH CO LTD,G06Q30/06,G06Q10/04,2017
2727,ZHOU YONG,CN-108732594-A,WO-2019184435-A1,LIU TING,G06Q30/06,G06Q30/06,2018
2728,MAGIC LEAP INC,WO-2016210354-A1,WO-2018232463-A1,TAHENY SEAN,G06Q30/06,G06Q30/06,2016
2729,ZHANG HAONAN,CN-105931104-A,CN-107248222-A,SHENZHEN ZHENGPIN CREATIVE TECH CO LTD,G06Q30/06,G07F11/00,2016
2730,LONG FAN,CN-106204187-A,CN-107301589-A,WUHU JIUHENG PACKAGING TECH CO LTD,G06Q30/06,G06Q30/06,2016
2731,OPERR TECH INC,US-2017220966-A1,US-2018159921-A1,UBER TECHNOLOGIES INC,G06Q30/06,H04L67/10,2016
2732,CRITEO SA,US-2017287023-A1,US-10275820-B2,WAL MART STORES INC,G06Q30/06,G06Q30/06,2016
2733,IBM,US-2018053235-A1,US-10552497-B2,IBM,G06Q30/06,G06F16/95,2016
2734,LALONDE BENOIT,WO-2016172785-A1,WO-2019040773-A1,MALETYCH KURT,G06Q30/06,H04L67/12,2016
2735,WIPRO LTD,US-2018268456-A1,US-10534862-B2,IBM,G06Q30/06,G06F40/20,2017
2736,NANJING ULEAD INFORMATION TECH CO LTD,CN-107274256-A,CN-107229982-A,ZHOU LEIWEN,G06Q30/06,G06Q10/20,2017
2737,GOGORO INC,US-2017039631-A1,CN-107480972-A,STATE GRID CORP CHINA,G06Q30/06,G06Q20/14,2016
2738,WAL MART STORES INC,US-2018218440-A1,WO-2019165416-A1,SHENDRE AMEYA AJAY,G06Q30/06,G06Q10/06,2017
2739,BEIJING SENSETIME SCIENCE TECH LTD,CN-108268934-A,WO-2019137104-A1,BEIJING SENSETIME TECH DEVELOPMENT CO LTD,G06Q30/06,G06Q30/06,2018
2740,CONTINENTAL INTELLIGENT TRANSP SYSTEMS LLC,US-2018232788-A1,US-2019090174-A1,FORD GLOBAL TECH LLC,G06Q30/06,H04W4/44,2016
2741,EBAY INC,US-2018108066-A1,US-2018300339-A1,FACEBOOK INC,G06Q30/06,G06F16/33,2016
2742,ALIBABA GROUP HOLDING LTD,US-2016321347-A1,US-10440073-B2,CISCO TECH INC,G06Q30/06,H04L65/40,2016
2743,REPLYBUY INC,US-2017103435-A1,US-10176472-B1,WORLDPAY LLC,G06Q30/06,G06Q20/30,2016
2744,BSG PARTNERS CO LTD,KR-101802813-B1,KR-101996765-B1,CHOI KYU TAIK,G06Q30/06,G06Q30/06,2016
2745,FUJITSU LTD,JP-2018128925-A,KR-102064521-B1,WOORI HOMESHOPPING,G06Q30/06,G06Q30/02,2017
2746,CONTEXTLOGIC INC,US-2016328787-A1,US-2018039699-A1,TARGET BRANDS INC,G06Q30/06,G06F17/30,2016
2747,PAN CHONGGUANG,CN-106352884-A,CN-106643696-A,SHANGHAI PANSHI INVEST MAN CO LTD,G06Q30/06,G01C21/00,2016
2748,GREE ELECTRIC APPLIANCES INC ZHUHAI,CN-107038622-A,CN-108639470-A,LI GUIXIANG,G06Q30/06,B65B63/04,2017
2749,BROTHER IND LTD,US-2016292772-A1,US-10382633-B2,SEIKO EPSON CORP,G06Q30/06,H04N1/003,2016
2750,LEE KUO-CHUN,US-2017011440-A1,WO-2019246462-A1,PAG FINANCIAL INT LLC,G06Q30/06,G06Q20/20,2016
2751,JIANGSU TONGFUDUN TECH CO LTD,CN-106384273-A,CN-107146089-A,BEIJING SCIENCE & TECH CO THREE FAST ONLINE,G06Q30/06,G06Q30/01,2016
2752,ALIBABA GROUP HOLDING LTD,CN-107301577-A,CN-108229549-A,HANGZHOU SOUCHE AUTOMOTIVE SERVICES CO LTD,G06Q30/06,G06K9/626,2016
2753,XU YIJUN,CN-106934959-A,CN-108122350-A,GOLDEN HOUSE TECH CO LTD,G06Q30/06,G07G1/12,2017
2754,PROCTER & GAMBLE,US-2017270593-A1,US-2017345144-A1,CAL-COMP ELECTRONICS & COMMUNICATIONS COMPANY LTD,G06Q30/06,A61B5/007,2017
2755,METAIL LTD,US-9881334-B2,US-2016217618-A1,METAIL LTD,G06Q30/06,G06T13/20,2016
2756,ZEBIC GREGOR,WO-2016193818-A1,US-10387554-B1,IBM,G06Q30/06,G06F40/16,2016
2757,DAL KOMM CO LTD,KR-101817562-B1,KR-102040574-B1,KANG SAM TAE,G06Q30/06,G06Q50/12,2017
2758,BEIJING YUNZHI TECH CO LTD,CN-107392702-A,CN-109272393-A,UNIV FUJIAN TECHNOLOGY,G06Q30/06,G06Q30/06,2017
2759,ZHU LIANGHONG,WO-2017197625-A1,US-10207110-B1,AXON THERAPIES INC,G06Q30/06,A61N1/361,2016
2760,CHOW EDMOND K,US-2016225059-A1,US-10102194-B2,MICROSOFT TECHNOLOGY LICENSING LLC,G06Q30/06,G06F40/16,2016
2761,IBM,US-2017345084-A1,US-10363796-B2,FORD GLOBAL TECH LLC,G06Q30/06,G07C5/00,2016
2762,ADIDAS AG,US-2016364790-A1,US-9928529-B2,THEATROLABS INC,G06Q30/06,G06Q30/02,2016
2763,OPTITEX LTD,US-2016284017-A1,US-10282772-B2,CAPITAL ONE SERVICES LLC,G06Q30/06,G06Q30/06,2016
2764,AT & T IP I LP,US-2017069004-A1,US-9819807-B2,NETWORK KINETIX LLC,G06Q30/06,H04M15/47,2016
2765,AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC,US-2016253737-A1,WO-2018165389-A1,VISA INT SERVICE ASS,G06Q30/06,G06Q30/02,2016
2766,WAL-MART STORES INC,US-2017358024-A1,US-2018101550-A1,IBM,G06Q30/06,G06F16/58,2017
2767,TRUECAR INC,US-2019180306-A1,US-10489809-B2,TRUECAR INC,G06Q30/06,G06Q30/02,2019
2768,SUNRISE R&D HOLDINGS LLC,US-2016328767-A1,WO-2018125881-A1,WALMART APOLLO LLC,G06Q30/06,G06Q10/08,2016
2769,NEXTEV USA INC,US-2018009330-A1,US-10343539-B2,NICHICON CORP,G06Q30/06,B60L53/60,2016
2770,HERKEN ROLF,WO-2016145425-A1,WO-2018227020-A1,HERKEN ROLF,G06Q30/06,G06Q30/06,2016
2771,NIO USA INC,US-9984522-B2,US-10536814-B1,PASSPORT LABS INC,G06Q30/06,G07C2209/,2016
2772,BEIJING SCIENCE & TECH CO THREE FAST ONLINE,CN-108985896-A,WO-2020011030-A1,BEIJING SANKUAI ONLINE TECH CO LTD,G06Q30/06,G06Q30/06,2018
2773,NEXTEV USA INC,US-2018012091-A1,WO-2019178168-A1,LYFT INC,G06Q30/06,H04N7/181,2016
2774,THE 41ST PARAMETER INC,US-10089679-B2,US-10536456-B2,TENCENT TECH SHENZHEN CO LTD,G06Q30/06,H04L63/08,2017
2775,POSTECH ACADEMY-INDUSTRY FOUND,US-2016217385-A1,US-10248628-B2,HYBRIS AG,G06Q30/06,G06F16/95,2016
2776,WAL-MART STORES INC,US-2016314514-A1,US-10189642-B2,WALMART APOLLO LLC,G06Q30/06,B65G1/137,2016
2777,EBAY INC,US-2016328765-A1,US-10380512-B2,SAP SE,G06Q30/06,G06Q10/06,2016
2778,@PAY IP HOLDINGS LLC,US-2017372406-A1,US-10069804-B2,PROTEGRITY CORP,G06Q30/06,H04L63/04,2017
2779,HUIZHOU TCL MOBILE COMMUNICATION CO LTD,CN-106651511-A,WO-2018090821-A1,HUIZHOU TCL MOBILE COMMUNICATION CO LTD,G06Q30/06,G06Q30/06,2016
2780,RATHUS SPENCER A,US-2017169495-A1,US-2018232399-A1,IBM,G06Q30/06,G06F17/30,2016
2781,NIO USA INC,US-9946906-B2,US-2018194307-A1,BOE TECHNOLOGY GROUP CO LTD,G06Q30/06,B60R16/03,2016
2782,FORQ INC,US-2018308143-A1,US-2019228855-A1,KRAFT FOODS GROUP BRANDS LLC,G06Q30/06,G06Q30/06,2016
2783,BROTHER IND LTD,US-2016292772-A1,US-10001722-B2,BROTHER IND LTD,G06Q30/06,G03G15/08,2016
2784,NEXTEV USA INC,US-2018012279-A1,US-10304261-B2,NIO USA INC,G06Q30/06,G07C5/008,2016
2785,MASTERCARD INTERNATIONAL INC,EP-3321874-A1,CN-108091063-A,TRULY OPTO ELECTRONICS LTD,G06Q30/06,G07F17/00,2016
2786,VAST COM INC,US-9710843-B2,US-10268704-B1,VAST COM INC,G06Q30/06,G06F16/27,2016
2787,SKURT INC,US-2017091856-A1,US-10134286-B1,GM GLOBAL TECH OPERATIONS LLC,G06Q30/06,G06Q10/02,2016
2788,ORDERGROOVE INC,US-2018349980-A1,US-10586266-B2,ALVO GREG E,G06Q30/06,G06Q30/06,2017
2789,MEGVII TECH LTD,CN-107909443-A,CN-108596095-A,VIVO COMM TECHNOLOGY CO LTD,G06Q30/06,G06K9/006,2017
2790,BEIJING JINGDONG CENTURY TRADING CO LTD,CN-106056423-A,CN-107330764-A,GUANGDONG XINJI FENGCHAO TECH CO LTD,G06Q30/06,G06Q30/06,2016
2791,ALLSTATE INSURANCE CO,US-2018053237-A1,US-2017316685-A1,YUN SUK JU,G06Q30/06,G06Q50/10,2016
2792,CAPTURELIFE INC,US-2016283099-A1,US-2018032212-A1,FACEBOOK INC,G06Q30/06,G06F16/95,2016
2793,NEC CORP,US-2018232799-A1,US-2019303911-A1,NCR CORP,G06Q30/06,G06Q30/06,2016
2794,GRABANGO CO,WO-2017196822-A1,US-10445694-B2,STANDARD COGNITION CORP,G06Q30/06,G06Q10/08,2017
2795,CHEN YUNG YEN,US-2018300801-A1,US-10540710-B2,Sourceability North America LLC,G06Q30/06,G06Q10/08,2017
2796,BSG PARTNERS CO LTD,KR-101802813-B1,KR-101996765-B1,MACROAD CO LTD,G06Q30/06,G06Q30/06,2016
2797,DIMENSIONALMECHANICS INC,US-2017004567-A1,US-10380800-B2,DISNEY ENTPR INC,G06Q30/06,G06T19/00,2016
2798,PANASONIC IP MAN CO LTD,US-2017200208-A1,EP-3611682-A1,SHENZHEN IVPS TECH CO LTD,G06Q30/06,G06Q30/06,2017
2799,TOSHIBA TEC KK,US-2016203680-A1,US-2018032985-A1,SQUARE INC,G06Q30/06,G06Q20/20,2016
2800,ZHANG HAONAN,CN-105931104-A,CN-107507063-A,HEFEI LANPANGZI TECH CO LTD,G06Q30/06,G06Q30/06,2016
2801,BEIJING DIDI INFINITY TECHNOLOGY & DEV CO LTD,US-2018025407-A1,US-2018139410-A1,BOE TECHNOLOGY GROUP CO LTD,G06Q30/06,H04N7/147,2016
2802,PEREZ ALEJANDRO EVARISTO,US-2018144378-A1,US-10380366-B2,SAP SE,G06Q30/06,G06F21/62,2017
2803,HITACHI LTD,US-2016284013-A1,CN-106790361-A,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP LTD,G06Q30/06,H04L67/28,2016
2804,SAMSUNG ELECTRONICS CO LTD,US-2017186079-A1,US-10558323-B1,GOOGLE LLC,G06Q30/06,G06F3/048,2016
2805,MONAWA,KR-20170126287-A,KR-101941418-B1,KIM HEE SUN,G06Q30/06,G06Q10/06,2016
2806,XEROX CORP,US-2017270349-A1,US-10255484-B2,PROCTER & GAMBLE,G06Q30/06,G06K9/002,2017
2807,SHENNIB ADNAN,US-2016350821-A1,US-10341790-B2,IHEAR MEDICAL INC,G06Q30/06,H04R25/70,2016
2808,VAST COM INC,US-10109001-B1,US-10572555-B1,VAST COM INC,G06Q30/06,G06F16/95,2017
2809,INDO OPTICAL S L,ES-2604806-A2,EP-3410178-A1,ZEISS CARL VISION INT GMBH,G06Q30/06,G02C13/00,2016
2810,MIT AUTOMOBILE SERVICE CO LTD,CN-107341700-A,CN-108109274-A,UNIV SUZHOU,G06Q30/06,G07F17/00,2017
2811,ADIDAS AG,US-2016364790-A1,US-10257085-B2,THEATROLABS INC,G06Q30/06,H04L45/44,2016
2812,HUAWEI TECH CO LTD,US-2017083965-A1,US-10387115-B2,YANDEX EUROPE AG,G06Q30/06,G06F7/24,2016
2813,BEIJING JINGDONG CENTURY TRADING CO LTD,CN-108876526-A,WO-2019233258-A1,BEIJING JINGDONG CENTURY TRADING CO LTD,G06Q30/06,G06Q30/06,2018
2814,WAL MART STORES INC,US-2018089737-A1,US-2017104841-A1,IMPOSSIBLE VENTURES LLC,G06Q30/06,H04L67/32,2016
2815,ADOBE SYSTEMS INC,US-2018068371-A1,US-10579370-B2,EMC IP HOLDING CO LLC,G06Q30/06,G06F8/72,2016
2816,HORSTEMEYER SCOTT ANDREW,US-2016174044-A1,US-10586036-B2,BIOCATCH LTD,G06Q30/06,G06F21/45,2016
2817,NEXTEV USA INC,US-2018012198-A1,US-10319157-B2,GM GLOBAL TECH OPERATIONS LLC,G06Q30/06,G07C5/006,2016
2818,EBAY INC,US-2016210678-A1,US-10061767-B1,GOOGLE INC,G06Q30/06,G06F17/27,2016
2819,SEARS BRANDS LLC,US-2017330274-A1,US-2018204151-A1,BANK OF AMERICA,G06Q30/06,G06Q10/06,2016
2820,IBM,US-2018075551-A1,CN-108765019-A,ZHEJIANG KOUBEI NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2016
2821,VAST COM INC,US-2017372402-A1,US-10572555-B1,VAST COM INC,G06Q30/06,G06F16/95,2017
2822,3D PRODUCT IMAGING INC,WO-2016138481-A1,WO-2019167062-A1,SOUL VISION CREATIONS PRIVATE LTD,G06Q30/06,G06Q30/06,2016
2823,CHANGE UP INC,US-2016300283-A1,WO-2019241106-A1,BRAVE SOFTWARE INC,G06Q30/06,G06Q30/02,2016
2824,HUAWEI TECH CO LTD,CN-107369058-A,CN-108345702-A,BEIJING BAIDU NETCOM SCI & TEC,G06Q30/06,G06N5/022,2016
2825,HUNAN ANLIANG INFORMATION TECH CO LTD,CN-106875260-A,CN-107481092-A,SUZHOU FURUIRONG NETWORK TECH CO LTD,G06Q30/06,G06Q30/06,2017
2826,BOE TECHNOLOGY GROUP CO LTD,CN-108805657-A,WO-2019223429-A1,BOE TECHNOLOGY GROUP CO LTD,G06Q30/06,G06Q30/06,2018
2827,WAL-MART STORES INC,US-2017323375-A1,US-2018121037-A1,ZUME PIZZA INC,G06Q30/06,G06F3/048,2017
2828,CPMS CO LTD,KR-101830337-B1,KR-101992050-B1,LEE HO JUNG,G06Q30/06,G06Q30/06,2016
2829,SQUARE INC,US-9928540-B1,US-10489738-B2,WALMART APOLLO LLC,G06Q30/06,G06Q10/08,2016
